source_set,card_file,def_id,current_name,display_name,cost,base_power,tribes,frame,rules_text,flavor_text,ability_triggers,ability_kinds,complexity_flags,proposed_name,proposed_type,status,role,theme_fit_1_5,clarity_1_5,fun_1_5,uniqueness_1_5,priority,problem,suggested_fix,notes
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/acquisition-team/card.json,acquisition-team,Acquisition Team,ACQUISITION TEAM,4,5,Corp,epic,On Reveal: Destroy your lowest-Cost card here and give its text to your highest-Power card here.,Synergy through hostile integration.,onReveal,COPY_TEXT_OF; DESTROY; MAX_POWER_OF; MIN_COST_OF; SAME_LANE; SELF; SEQUENCE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/adaptive-shell/card.json,adaptive-shell,Adaptive Shell,ADAPTIVE SHELL,2,2,Tech; Bio,common,"End of Turn: If this is your only card here, gain +2 Power.",Alone it evolves. Crowded it coasts.,onEndOfTurn,ADD_POWER; CONDITIONAL; EXISTS; LIT; NOT; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/adrenal-graft/card.json,adrenal-graft,Adrenal Graft,ADRENAL GRAFT,3,3,Bio,rare,"When this gains Power, draw a card.",Every boost sharpens the mind.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/ai-overseer/card.json,ai-overseer,AI Overseer,AI OVERSEER,3,3,AI,rare,Ongoing: Your other Ongoing cards here have +1 Power.,Systems that persist are rewarded.,ongoing,HAS_ONGOING; LIT; POWER_ADD; SAME_LANE; SELF; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/ambush-runner/card.json,ambush-runner,Ambush Runner,AMBUSH RUNNER,3,4,Merc,rare,"On Reveal: If you played no cards last turn, gain +4 Power.",Silence was the preparation.,onReveal,ADD_POWER; CONDITIONAL; LIT; SELF; TRACKED_FLAG,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/armored-van/card.json,armored-van,Armored Van,ARMORED VAN,3,5,Military; Tech,common,,Doesn't need an ability. It's an armored van.,,,missing_rules_text; missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/backchannel-contact/card.json,backchannel-contact,Backchannel Contact,BACKCHANNEL CONTACT,2,3,Merc; Hacker,common,On Reveal: Replace a card in your hand with one that costs 1 more.,Upgrades cost something. Always.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/backup-ghost/card.json,backup-ghost,Backup Ghost,BACKUP GHOST,3,3,AI,rare,On Reveal: Add a card you discarded this game to your hand.,Everything deleted leaves a trace.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/battery-monk/card.json,battery-monk,Battery Monk,BATTERY MONK,1,2,Bio,common,Ongoing: +2 Power if you ended last turn with unspent Energy.,Restraint accumulates.,ongoing,IF_ELSE; LIT; POWER_ADD; SELF; TRACKED_FLAG,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/black-ice/card.json,black-ice,Black ICE,BLACK ICE,3,3,AI; Hacker,rare,On Reveal: Remove Ongoing text from a random enemy card here.,Persistent systems are the most vulnerable.,onReveal,LIT; RANDOM_N; REMOVE_TEXT; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/black-market-dealer/card.json,black-market-dealer,Black Market Dealer,BLACK MARKET DEALER,2,2,Merc,rare,On Reveal: Add a random card to your hand that costs 2 less next turn.,The discount expires when trust does.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/blackmail-file/card.json,blackmail-file,Blackmail File,BLACKMAIL FILE,2,2,Hacker; Corp,rare,On Reveal: Increase the Cost of a random card in your opponent's hand by 1.,What they don't know costs them.,onReveal,ADJUST_COST; ALL_CARDS; LIT; RANDOM_N,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/block-party/card.json,block-party,Block Party,BLOCK PARTY,2,2,Merc,common,"Ongoing: If this lane is full, your other cards here have +1 Power.","When there's no room left, everyone's stronger.",ongoing,IF_ELSE; LANE_FULL; LIT; POWER_ADD; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/boardroom-proxy/card.json,boardroom-proxy,Boardroom Proxy,BOARDROOM PROXY,5,6,Corp; AI,epic,Ongoing: This also has the Ongoing text of your lowest-Cost Ongoing card here.,Sits in every meeting at once.,ongoing,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
